ID,Putative_Species,S1_Angle_deg,S1_Length_cm,S1_Width_cm,S1_MP_Width_cm,S1_Length_to_Caudate_Appendage_cm,S1_Inner_Outer_Ratio,S1_Tip_Shape,S2_Angle_deg,Sepal_2_Length_cm,S2_Width_cm,S2_MP_Width_cm,S2_Length_to_Caudate_Appendage_cm,S2_Inner_Outer_Ratio,S2_Tip_Shape,S3_Angle_deg,S3_Length_cm,S3_Width_cm,S3_MP_Width_cm,S3_Length_to_Caudate_Appendage_cm,S3_Inner_Outer_Ratio,S3_Tip_Shape,Overall_Sepal_Orientation,Calyx_Ad_Pub,Calyx_Ab_Pub,Tube_Color,Rudimentary_Petals,Style_Tube_Shape,Pedicle_Width_mm,Pedicle_Length_cm,Tube_Length,Stamen_Length_cm,Dist_to_Gyn_Center_cm,Gyn_Height_cm,Gyn_Width_mm,Avg_Leaf_Length_cm,Avg_Leaf_Width_cm,Adaxial_Leaf_Pubescence,Abaxial_Leaf_Pubescence,Leaf_Shape
Pop31_Ind2,reflexum,215,1.18,0.95,0.77,1.16,1.00,Abrupt,161,1.4,0.91,0.57,1.18,1.00,Abrupt,213,1.24,0.94,0.71,1.18,1.00,Abrupt,Intermediate,Prominent,To Tube,At Tube,Zero,Fluted,2.52,3.28,1.95,0.53,0.61,0.5,0.36,12.03,12.83,Margins,Entire,Chordate
Pop31_Ind3,reflexum,219,1.33,0.9,0.59,0.83,0.90,Abrupt,227,1.44,0.96,0.68,0.88,1.00,Abrupt,240,1.46,1.01,0.54,0.9,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Fluted,2.63,2.6,2.02,0.54,0.63,0.56,0.38,11.67,13.58,Margins,Entire,Reniform-Chordate
Pop31_Ind4,reflexum,172,1.31,0.89,0.63,0.75,1.00,Abrupt,229,1.36,1.01,0.67,0.82,1.00,Abrupt,254,1.44,1.02,0.65,0.87,1.01,Abrupt,Intermediate,Sparse,To Tube,At Tube,Zero,Fluted,2.16,2.86,1.99,0.43,0.58,0.51,0.37,11.16,12.68,Margins,Entire,Chordate
Pop32_Ind1,canadense,,,,,,,,259,1.04,0.84,0.4,0.72,0.89,Intermediate,193,1.09,0.88,0.28,0.62,0.37,Intermediate,Intermediate,Prominent,To Tube,At Tube,One,Fluted,1.49,1.18,1.57,0.51,0.49,0.36,0.21,7.69,9.09,Even,Entire,Chordate
Pop32_Ind2,canadense,202,1.19,0.88,0.36,0.74,0.65,Intermediate,169,1.31,0.88,0.32,0.85,0.07,Intermediate,146,1.32,0.96,0.27,0.79,0.96,Intermediate,Intermediate,Prominent,To Tube,At Tube,Two,Fluted,2.12,2.44,2,0.51,0.45,0.41,0.3,10.5,12.76,Even,Entire,Reniform-Chordate
Pop32_Ind3,canadense,135,1.22,0.87,0.39,0.87,0.66,Intermediate,152,1.27,0.9,0.29,0.68,0.16,Intermediate,229,1.25,0.83,0.47,0.8,0.98,Intermediate,Intermediate,Prominent,To Tube,One-Third,Zero,Fluted,1.69,2.73,1.6,0.63,0.39,0.48,0.27,9.37,10.86,Even,Entire,Reniform-Chordate
Pop33_Ind1,reflexum,139,1.18,1.01,0.79,0.73,1.00,Abrupt,90,1.2,0.91,0.68,0.82,1.00,Abrupt,110,1.16,0.92,0.58,0.87,1.00,Abrupt,Closed,Sparse,To Tube,One-Third,Three,Fluted,1.87,2.18,1.7,0.5,0.54,0.4,0.29,8.26,10.67,Even,Entire,Reniform
Pop34_Ind1,reflexum,,,,,,,,258,1.53,0.9,0.59,0.89,1.00,Abrupt,239,1.36,0.88,0.65,0.8,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Fluted,1.81,1.57,1.48,0.29,0.35,0.37,0.3,5.55,7.85,Even,Entire,Reniform-Chordate
Pop34_Ind2,reflexum,215,1.28,0.95,0.58,0.79,1.00,Abrupt,225,1.27,0.92,0.58,0.9,1.00,Abrupt,246,1.31,0.91,0.63,0.87,1.00,Abrupt,Reflexed,,,,Two,Fluted,1.76,1.89,1.61,0.44,0.47,0.45,0.32,7.48,8.7,Even,Entire,Reniform-Chordate
Pop34_Ind3,reflexum,264,1.45,0.95,0.57,0.92,1.00,Abrupt,273,1.73,1.03,0.69,0.94,1.00,Abrupt,271,1.54,0.97,0.66,0.95,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.91,2.18,1.44,0.53,0.45,0.47,0.33,7.8,9.78,Even,Entire,Reniform
Pop35_Ind1,canadense,179,0.94,0.72,0.34,0.55,0.47,Intermediate,,,,,,,,171,0.95,0.73,0.36,0.58,0.19,Intermediate,Flat,Prominent,Entire,At Tube,Zero,Fluted,1.51,2.89,1.7,,0.5,0.46,0.33,12.32,14.11,Even,Entire,Reniform-Chordate
Pop35_Ind2,canadense,191,0.75,0.84,0.59,0.48,0.75,Intermediate,189,0.72,0.88,0.57,0.53,0.88,Intermediate,204,0.82,0.75,0.44,0.51,0.92,Intermediate,Flat,Prominent,Entire,At Tube,Three,Fluted,1.37,1.66,1.49,0.31,0.36,0.4,0.27,5.8,9.44,Even,Entire,Reniform
Pop35_Ind3,canadense,166,1.04,0.81,0.34,0.68,0.55,Intermediate,158,1.02,0.81,0.49,0.63,0.91,Intermediate,170,1.06,0.83,0.38,0.68,0.68,Intermediate,Slight Incurve,Prominent,To Tube,At Tube,One,Fluted,1.25,1.57,1.48,,0.42,0.45,0.29,9.08,11.43,Even,Entire,Reniform-Chordate
Pop36_Ind1,reflexum,119,1.03,0.92,0.73,0.69,1.00,Abrupt,149,1.09,0.98,0.7,0.75,1.00,Abrupt,197,1.05,0.89,0.57,0.73,1.00,Abrupt,Slight Incurve,Prominent,To Tube,Halfway,Zero,Fluted,2.24,1.88,1.73,0.41,0.48,0.41,0.3,5.58,7.87,Margins,Entire,Reniform
Pop36_Ind2,reflexum,176,1.22,0.97,0.64,0.83,1.00,Abrupt,197,1.25,0.83,0.58,0.68,1.00,Abrupt,212,1.17,0.88,0.62,0.85,1.00,Abrupt,Slight Reflex,Prominent,To Lobes,Halfway,Zero,Fluted,2.05,2.41,1.94,0.34,0.56,0.47,0.29,8.2,10.24,Margins,Entire,Reniform
Pop36_Ind3,reflexum,170,0.83,0.81,0.49,0.6,1.00,Abrupt,205,1.03,0.81,0.54,0.72,1.00,Abrupt,139,0.99,0.89,0.54,0.71,1.00,Abrupt,Intermediate,Prominent,Entire,At Tube,Zero,Fluted,1.81,1.87,1.68,0.41,0.48,0.46,0.27,6.14,7.91,Margins,Entire,Reniform
Pop36_Ind4,reflexum,227,0.9,0.85,0.64,0.7,1.00,Abrupt,203,0.92,0.91,0.64,0.71,1.00,Abrupt,224,0.95,0.91,0.66,0.69,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.47,1.68,1.67,0.42,0.39,0.41,0.27,6.76,8.06,Margins,Entire,Reniform-Chordate
Pop36_Ind5,reflexum,248,0.96,0.82,0.56,0.72,1.00,Abrupt,235,0.96,0.79,0.58,0.74,1.00,Abrupt,237,0.97,0.84,0.57,0.7,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.56,1.82,1.45,0.35,0.42,0.42,0.25,7.32,9.58,Margins,Entire,Chordate
Pop36_Ind6,reflexum,252,0.96,0.87,0.54,0.65,1.00,Abrupt,244,0.97,0.83,0.54,0.7,1.00,Abrupt,251,1,0.82,0.58,0.66,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.67,2.13,1.49,0.41,0.39,0.38,0.27,6.77,9.41,Margins,Entire,Chordate
Pop37_Ind1,canadense,137,1.09,0.96,0.45,0.63,0.58,Intermediate,143,1.06,0.96,0.38,0.74,0.40,Intermediate,193,0.92,0.88,0.61,0.67,0.93,Intermediate,Slight Incurve,Prominent,Entire,At Tube,One,Fluted,1.84,2.34,2.03,0.22,0.49,0.69,0.3,9.7,12.13,Even,Entire,Chordate
Pop37_Ind2,canadense,210,1.67,1.06,0.22,1.02,0.00,Tapering,195,1.69,0.97,0.25,1.04,0.44,Intermediate,246,1.7,1,0.33,1.16,0.92,Intermediate,Intermediate,Prominent,Entire,At Tube,Two,Fluted,,,2.3,0.39,0.52,0.55,0.27,14.84,17.69,Even,Entire,Chordate
Pop37_Ind3,canadense,240,1.27,0.94,0.56,0.71,1.00,Intermediate,220,1.28,1.07,0.48,0.74,0.89,Intermediate,204,1.3,1.12,0.4,0.73,1.00,Intermediate,Slight Reflex,Sparse,To Tube,At Tube,Zero,Fluted,2.44,2.31,2.24,0.65,0.49,0.72,0.43,10.8,12.67,Even,Entire,Chordate
Pop37_Ind4,canadense,212,1.41,1.11,0.28,1.02,0.30,Intermediate,218,1.52,1.08,0.28,0.94,0.32,Intermediate,209,1.64,1.09,0.19,1.02,0.27,Intermediate,Slight Reflex,Sparse,To Lobes,One-Third,Three,Fluted,2.68,2.25,2.23,0.72,0.57,0.65,0.41,11.93,13.72,Even,Entire,Reniform-Chordate
Pop38_Ind1,canadense,167,0.96,0.79,0.31,0.58,0.73,Intermediate,191,0.93,0.8,0.41,0.54,0.81,Intermediate,171,0.94,0.8,0.35,0.55,0.77,Intermediate,Flat,Prominent,To Tube,One-Third,Three,Fluted,1.3,1.89,1.71,0.22,0.36,0.42,0.23,5.32,6.67,Even,Entire,Chordate
Pop39_Ind1,reflexum,253,1.54,0.82,0.37,0.83,1.00,Intermediate,250,1.65,1,0.47,1.02,1.00,Intermediate,247,1.52,0.99,0.6,0.88,1.00,Intermediate,Reflexed,Prominent,To Tube,Entire,Three,Fluted,1.77,4.36,2.02,0.5,0.53,0.54,0.36,10.09,11.89,Even,Entire,Reniform-Chordate
Pop39_Ind2,reflexum,266,1.1,0.9,0.4,0.74,1.00,Abrupt,256,1.41,1.02,0.28,0.78,1.00,Abrupt,,,,,,,,Reflexed,Sparse,To Tube,One-Third,One,Fluted,1.54,4.98,2.85,0.63,0.48,0.43,0.27,10.61,12.56,Even,Entire,Reniform-Chordate
Pop39_Ind3,reflexum,241,1.27,0.89,0.58,0.82,1.00,Abrupt,261,1.23,0.85,0.56,0.84,1.00,Abrupt,263,1.41,0.88,0.49,1,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Fluted,1.51,2.1,1.53,0.5,0.47,0.45,0.29,6.33,7.94,Even,Entire,Reniform-Chordate
Pop40_Ind1,reflexum,267,1.49,0.9,0.59,0.93,1.00,Abrupt,251,1.43,0.93,0.49,0.87,1.00,Abrupt,264,1.43,0.82,0.53,0.95,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,One,Fluted,1.72,4.67,1.66,0.52,0.38,0.37,0.27,8.36,10.67,Even,Entire,Chordate
Pop40_Ind2,reflexum,237,1.07,0.83,0.59,0.82,1.00,Abrupt,245,1.25,0.82,0.44,0.82,1.00,Abrupt,206,1.18,0.83,0.49,0.75,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.6,3.09,1.78,0.51,0.45,0.43,0.25,9.1,10.39,Even,Entire,Chordate
Pop40_Ind3,reflexum,245,0.92,0.8,0.53,0.63,1.00,Abrupt,236,1.03,0.81,0.54,0.75,1.00,Abrupt,244,1.05,0.79,0.55,0.76,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.26,2.98,1.61,0.31,0.47,0.43,0.24,8.34,10.11,Even,Entire,Chordate
Pop41_Ind1,reflexum,191,1.65,0.97,0.65,0.92,1.00,Abrupt,221,1.51,1.04,0.76,0.95,1.00,Abrupt,214,1.73,1.14,0.65,1.03,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,2.48,2.64,2.48,0.52,0.69,0.71,0.42,11.57,14.72,Even,Entire,Reniform-Chordate
