ID,Putative_Species,S1_Angle_deg,S1_Length_cm,S1_Width_cm,S1_MP_Width_cm,S1_Length_to_Caudate_Appendage_cm,S1_Inner_Outer_Ratio,S1_Tip_Shape,S2_Angle_deg,Sepal_2_Length_cm,S2_Width_cm,S2_MP_Width_cm,S2_Length_to_Caudate_Appendage_cm,S2_Inner_Outer_Ratio,S2_Tip_Shape,S3_Angle_deg,S3_Length_cm,S3_Width_cm,S3_MP_Width_cm,S3_Length_to_Caudate_Appendage_cm,S3_Inner_Outer_Ratio,S3_Tip_Shape,Overall_Sepal_Orientation,Calyx_Ad_Pub,Calyx_Ab_Pub,Tube_Color,Rudimentary_Petals,Style_Tube_Shape,Pedicle_Width_mm,Pedicle_Length_cm,Tube_Length,Stamen_Length_cm,Dist_to_Gyn_Center_cm,Gyn_Height_cm,Gyn_Width_mm,Avg_Leaf_Length_cm,Avg_Leaf_Width_cm,Adaxial_Leaf_Pubescence,Abaxial_Leaf_Pubescence,Leaf_Shape
Pop8_Ind3,reflexum,227,1,0.85,0.73,0.72,1.00,Abrupt,215,1.12,0.92,0.7,0.72,1.00,Abrupt,226,1.07,0.91,0.61,0.68,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Two,Flat,2.7,1.51,1.5,0.44,0.5,0.41,0.27,7.94,9.37,Even,Entire,Chordate
Pop9_Ind1,reflexum,240,0.92,0.62,0.49,0.52,1.00,Abrupt,249,1.01,0.76,0.42,0.53,1.00,Abrupt,267,1.08,0.72,0.48,0.7,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.63,1.62,1.34,0.45,0.39,0.41,0.23,7.38,8.73,Even,Entire,Reniform-Chordate
Pop9_Ind2,reflexum,233,0.9,0.89,0.65,0.51,1.00,Abrupt,234,1.03,0.95,0.5,0.61,0.61,Abrupt,243,1.23,0.9,0.42,0.74,0.84,Abrupt,Reflexed,Prominent,Entire,At Tube,One,,1.61,1.18,1.28,,0.38,0.27,0.21,9.68,12.14,Even,Entire,Reniform
Pop9_Ind3,reflexum,185,1.11,0.72,0.49,0.71,1.00,Abrupt,201,1.05,0.86,0.63,0.74,1.00,Abrupt,173,1.02,0.84,0.63,0.71,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.87,1.57,1.41,0.37,0.44,0.42,0.24,6.51,7.7,Even,Entire,Reniform
Pop10_Ind1,reflexum,200,0.89,0.73,0.62,0.7,1.00,Abrupt,231,1,0.78,0.66,0.71,1.00,Abrupt,230,1.01,0.88,0.52,0.72,1.00,Abrupt,Reflexed,Sparse,To Tube,At Tube,Zero,Fluted,1.53,2.41,1.55,0.28,,,,5.39,7.95,Even,Entire,Reniform
Pop10_Ind2,reflexum,242,0.91,0.9,0.72,0.71,1.00,Abrupt,243,0.94,0.8,0.53,0.61,1.00,Abrupt,242,0.89,0.82,0.62,0.68,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Fluted,1.46,1.82,1.42,0.41,0.4,0.38,0.19,3.94,5.65,Even,Entire,Reniform
Pop10_Ind3,reflexum,249,0.94,0.8,0.68,0.9,1.00,Abrupt,233,0.99,0.83,0.52,0.81,1.00,Abrupt,236,0.99,0.85,0.54,0.88,1.00,Abrupt,Reflexed,Sparse,Sparse,At Tube,Zero,Flat,1.8,1.88,1.49,0.42,0.55,0.42,0.22,5.1,6.43,Even,Entire,Reniform-Chordate
Pop11_Ind1,reflexum,232,0.9,0.92,0.61,0.72,1.00,Abrupt,230,0.95,0.96,0.67,0.8,1.00,Abrupt,217,0.85,0.94,0.68,0.75,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Fluted,1.94,1.87,1.74,0.41,0.52,0.43,0.28,12.55,15.95,Margins,Entire,Reniform
Pop11_Ind2,reflexum,243,0.85,0.83,0.43,0.65,1.00,Abrupt,229,0.81,0.82,0.53,0.58,1.00,Abrupt,236,0.83,0.79,0.49,0.59,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Fluted,1.83,2.44,1.37,0.41,0.52,0.36,0.25,8.34,10.2,Margins,Entire,Reniform-Chordate
Pop11_Ind3,reflexum,239,0.97,0.92,0.6,0.79,1.00,Abrupt,245,1.02,0.91,0.68,0.79,1.00,Abrupt,246,1.09,0.82,0.62,0.82,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Fluted,1.67,3.85,1.78,0.39,0.5,0.44,0.27,8.84,12.21,Margins,Entire,Reniform
Pop12_Ind1,reflexum,240,0.76,0.71,0.49,0.56,1.00,Abrupt,224,0.77,0.71,0.46,0.58,1.00,Abrupt,223,0.83,0.73,0.49,0.65,1.00,Abrupt,Reflexed,Prominent,Entire,At Tube,Zero,Flat,1.28,2.66,1.42,0.48,0.38,0.4,0.24,7.72,9.65,Even,Entire,Reniform
Pop12_Ind2,reflexum,214,0.82,0.71,0.53,0.68,1.00,Abrupt,235,0.87,0.75,0.5,0.65,1.00,Abrupt,219,0.8,0.74,0.5,0.67,1.00,Abrupt,Reflexed,Prominent,To Lobes,At Tube,Zero,Flat,1.53,1.9,1.24,0.4,0.41,0.39,0.23,5.78,9.19,Even,Entire,Chordate
Pop12_Ind3,reflexum,201,0.76,0.7,0.5,0.61,1.00,Abrupt,240,0.78,0.71,0.54,0.62,1.00,Abrupt,256,0.76,0.7,0.53,0.57,1.00,Abrupt,Reflexed,Prominent,To Lobes,At Tube,Zero,Fluted,1.59,3.11,1.43,0.4,0.42,0.36,0.2,6.95,9.95,Margins,Entire,Chordate
Pop13_Ind1,acuminatum,126,3.42,1.38,0.27,1.91,0.33,Tapering,83,3.47,1.1,0.2,1.97,0.26,Tapering,68,3.22,1.27,0.2,1.58,0.00,Tapering,Incurved,Prominent,To Lobes,At Tube,Three,Flat,1.68,2.79,2.19,0.75,0.68,0.55,0.3,11.31,12.31,Even,Veins,Chordate
Pop13_Ind2,acuminatum,90,3.52,1.35,0.2,1.8,0.09,Tapering,75,2.1,1.41,0.22,1.06,0.46,Tapering,176,2.12,1.39,0.28,1.11,0.28,Tapering,Incurved,Prominent,To Lobes,At Tube,Three,Flat,2.51,3.65,2.03,0.82,0.61,0.53,0.31,10.32,12.08,Even,Veins,Chordate
Pop13_Ind3,acuminatum,85,1.42,1.38,0.3,1.09,0.31,Tapering,87,4.1,1.33,0.25,2.17,0.00,Tapering,113,4.39,1.21,0.11,2.17,0.10,Tapering,Incurved,Tapering,To Lobes,At Tube,Three,Flat,2.85,3.08,2.52,0.81,0.63,0.72,0.4,14.49,16.66,Even,Veins,Chordate
Pop14_Ind1,canadense,143,1.06,0.82,0.39,0.73,0.65,Intermediate,152,1.01,0.81,0.33,0.63,1.00,Intermediate,177,1.04,0.81,0.27,0.7,0.58,Intermediate,Slight Incurve,Tapering,To Lobes,At Tube,Zero,Flat,1.93,2.6,1.63,0.47,0.49,0.4,0.28,9.6,12.37,Even,Veins,Reniform-Chordate
Pop14_Ind2,canadense,196,0.79,0.7,0.48,0.57,1.00,Intermediate,182,0.56,0.69,0.57,0.42,1.00,Intermediate,192,0.83,0.71,0.41,0.53,0.42,Intermediate,Flat,Tapering,To Lobes,At Tube,Zero,Fluted,1.76,3.91,1.41,0.42,0.39,0.3,0.24,7.96,10.63,Even,Veins,Chordate
Pop14_Ind3,canadense,164,0.9,0.72,0.38,0.62,0.47,Intermediate,169,0.96,0.74,0.34,0.67,0.35,Intermediate,183,1,0.72,0.37,0.66,0.39,Intermediate,Flat,Prominent,Sparse,At Tube,Zero,Fluted,1.58,4.01,1.43,0.41,0.42,0.35,0.25,9.39,11.87,Even,Veins,Chordate
Pop15_Ind1,canadense,143,0.73,0.79,0.53,0.54,0.37,Intermediate,151,0.81,0.81,0.39,0.59,0.30,Intermediate,155,0.77,0.83,0.31,0.58,0.44,Intermediate,Slight Incurve,Prominent,Sparse,At Tube,Two,Fluted,1.47,2.54,1.04,0.31,0.36,0.26,0.24,8.56,9.35,Even,Entire,Reniform-Chordate
Pop15_Ind2,canadense,189,0.6,0.73,0.39,0.44,0.72,Intermediate,187,0.63,0.71,0.37,0.51,0.55,Intermediate,221,0.6,0.72,0.41,0.48,0.80,Intermediate,Slight Reflex,Prominent,Sparse,At Tube,Three,Fluted,1.36,2.86,1.05,0.4,0.37,0.29,0.19,8.01,10.19,Even,Entire,Chordate
Pop15_Ind3,canadense,172,0.76,0.75,0.46,0.5,0.66,Intermediate,188,0.78,0.79,0.38,0.48,0.65,Intermediate,,,,,,,,Flat,Prominent,To Lobes,At Tube,Three,Fluted,1.75,2.3,1.46,0.39,0.42,0.32,0.23,9.23,12.57,Even,Entire,Chordate
Pop16_Ind1,canadense,173,0.86,0.81,0.37,0.62,0.58,Intermediate,181,0.9,0.83,0.35,0.61,0.54,Intermediate,192,0.93,0.8,0.37,0.58,0.76,Intermediate,Flat,Prominent,To Lobes,At Tube,Zero,Fluted,1.52,2.97,1.11,0.36,0.34,0.29,0.2,7.7,9.07,Even,Entire,Chordate
Pop16_Ind2,canadense,181,0.95,0.75,0.41,0.55,0.57,Intermediate,216,1.09,0.75,0.33,0.6,0.68,Intermediate,240,1.08,0.81,0.34,0.53,1.00,Intermediate,Slight Reflex,Prominent,To Lobes,At Tube,Two,Fluted,2.02,2.78,1.49,0.51,0.49,0.41,0.27,9.42,11.49,Even,Entire,Chordate
Pop16_Ind3,canadense,190,0.92,0.79,0.37,0.58,0.53,Intermediate,189,0.79,0.78,0.4,0.52,0.69,Intermediate,227,0.82,0.77,0.35,0.48,0.43,Intermediate,Slight Reflex,Prominent,To Lobes,At Tube,Zero,Fluted,1.96,3.88,1.52,0.48,0.46,0.42,0.28,10.18,11.81,Even,Veins,Chordate
Pop17_Ind1,canadense,207,0.6,0.74,0.35,0.38,0.71,Intermediate,220,0.75,0.73,0.3,0.5,0.52,Intermediate,179,0.8,0.69,0.26,0.39,0.60,Intermediate,Slight Reflex,Prominent,Sparse,At Tube,Three,Flat,1.65,2.66,1.1,0.49,0.37,0.35,0.23,7.6,8.77,Even,Veins,Chordate
Pop17_Ind2,canadense,181,1.02,0.8,0.29,0.52,0.48,Intermediate,175,0.95,0.77,0.37,0.58,0.53,Intermediate,277,1.01,0.79,0.38,0.69,0.78,Intermediate,Intermediate,Prominent,Sparse,At Tube,Zero,Fluted,1.63,4.07,1.19,0.41,0.34,0.38,0.27,8.13,9.78,Even,Veins,Chordate
Pop17_Ind3,canadense,165,0.92,0.7,0.32,0.61,0.31,Intermediate,155,0.88,0.79,0.38,0.54,0.69,Intermediate,218,0.87,0.73,0.3,0.54,0.34,Intermediate,Intermediate,Prominent,To Lobes,At Tube,One,Fluted,1.42,2.94,1.16,0.49,0.35,0.26,0.25,8.36,10.31,Even,Veins,Chordate
Pop18_Ind1,canadense,195,0.66,0.6,0.49,0.43,1.00,Intermediate,243,0.63,0.61,0.51,0.39,1.00,Intermediate,216,0.65,0.6,0.53,0.42,1.00,Intermediate,Reflexed,Prominent,Sparse,At Tube,Two,Fluted,1.62,2.13,1.21,0.37,0.34,0.36,0.22,8.02,9.85,Even,Entire,Chordate
Pop18_Ind2,canadense,197,1.04,0.77,0.29,0.58,0.30,Intermediate,212,0.98,0.69,0.37,0.52,0.71,Intermediate,235,0.97,0.74,0.28,0.51,0.54,Intermediate,Reflexed,Prominent,To Lobes,At Tube,Three,Fluted,1.64,1.62,1.26,0.41,0.33,0.32,0.24,9.87,10.61,Even,Veins,Chordate
Pop18_Ind3,canadense,176,1.02,0.78,0.2,0.6,0.82,Intermediate,183,0.99,0.7,0.18,0.56,0.53,Intermediate,194,1.01,0.75,0.25,0.6,0.54,Intermediate,Flat,Prominent,To Lobes,At Tube,Two,Fluted,1.84,2.49,1.34,0.42,0.39,0.31,0.26,7.74,9.65,Even,Veins,Chordate
Pop19_Ind1,canadense,182,0.98,0.85,0.39,0.65,0.35,Intermediate,212,0.69,0.79,0.36,0.52,0.62,Intermediate,179,0.99,78,0.27,0.59,0.37,Intermediate,Flat,Prominent,To Lobes,At Tube,Two,Fluted,1.8,2.51,1.19,0.45,0.33,0.31,0.24,9.49,11.61,Even,Entire,Chordate
Pop19_Ind2,canadense,240,1.08,0.83,0.23,0.68,0.52,Intermediate,208,1.02,0.84,0.34,0.68,0.82,Intermediate,181,1.17,0.81,0.26,0.71,0.56,Intermediate,Reflexed,Prominent,To Lobes,At Tube,Zero,Fluted,1.56,2.4,1.27,0.39,0.35,0.34,0.28,10.26,11.82,Even,Entire,
Pop19_Ind3,canadense,252,1.34,0.64,0.12,0.62,0.67,Tapering,230,0.8,0.78,0.44,0.58,0.77,Intermediate,219,1.26,0.9,0.25,0.7,0.34,Tapering,Reflexed,Prominent,To Lobes,At Tube,One,Fluted,1.43,2.97,1.38,0.45,0.37,0.32,0.24,9.94,11.39,Even,Veins,Chordate
Pop20_Ind1,canadense,209,0.72,0.81,0.49,0.52,0.52,Intermediate,238,0.95,0.8,0.51,0.55,0.33,Intermediate,204,1,0.82,0.48,0.61,0.64,Intermediate,Reflexed,Prominent,To Lobes,At Tube,Zero,Fluted,1.77,3.2,1.51,,0.47,0.36,0.3,8.39,10.55,Even,Entire,
Pop20_Ind2,canadense,184,0.79,0.79,0.29,0.49,0.75,Intermediate,146,0.71,0.76,0.38,0.52,1.00,Intermediate,168,0.69,0.73,0.29,0.52,1.00,Intermediate,Slight Incurve,Prominent,To Lobes,At Tube,Three,Fluted,1.7,2.71,1.48,0.4,0.5,0.42,0.25,8.53,10.78,Even,Veins,Chordate
Pop20_Ind3,canadense,230,1.08,0.85,0.34,0.54,0.44,Intermediate,187,0.96,0.88,0.29,0.6,0.24,Intermediate,185,1,0.83,0.27,0.58,0.55,Intermediate,Slight Reflex,Prominent,To Lobes,At Tube,Zero,Fluted,1.67,4.03,1.54,0.42,0.49,0.41,0.32,9.53,13.17,Even,Entire,Chordate
Pop21_Ind1,acuminatum,254,2.01,1.02,0.16,1.04,0.48,Tapering,240,1.8,1.05,0.19,1.04,0.56,Tapering,246,1.95,1.02,0.22,1.07,0.10,Tapering,Reflexed,Prominent,Sparse,At Tube,Two,Fluted,2.3,2.76,1.97,0.58,0.5,0.42,0.29,12.25,13.65,Even,Veins,
Pop21_Ind2,acuminatum,243,1.45,1.01,0.21,0.92,0.44,Tapering,,,,,,,,234,1.62,0.98,0.28,0.94,0.40,Tapering,Reflexed,Prominent,To Tube,At Tube,Three,Fluted,1.84,2.71,1.55,0.59,0.59,0.46,0.27,11.23,11.91,Even,Veins,Chordate
Pop21_Ind3,acuminatum,325,2.16,0.82,0.18,1.06,0.68,Tapering,250,1.97,0.79,0.14,1.02,0.15,Tapering,295,2,0.86,0.12,1.12,0.04,Tapering,Reflexed,Prominent,To Lobes,At Tube,Three,Fluted,1.7,5.42,1.33,0.52,0.48,0.43,0.29,10.47,12.56,Even,Entire,Chordate
Pop22_Ind1,canadense,183,0.57,0.8,0.39,0.4,0.13,Intermediate,203,0.62,0.82,0.41,0.43,0.41,Intermediate,173,0.63,0.83,0.47,0.41,0.42,Intermediate,Flat,Prominent,To Lobes,At Tube,Two,Fluted,1.86,3.12,1.42,0.41,0.47,0.39,0.28,9.39,10.48,Even,Entire,Chordate
Pop22_Ind2,canadense,201,0.99,0.82,0.24,0.52,0.50,Intermediate,169,1.3,0.82,0.31,0.72,0.07,Intermediate,174,1.12,0.71,0.36,0.71,0.24,Intermediate,Flat,Prominent,To Lobes,At Tube,Two,Flat,1.91,3.61,1.54,0.51,0.41,0.48,0.33,10.75,12.94,Even,Entire,Chordate
Pop22_Ind3,canadense,248,0.93,0.82,0.3,0.51,0.84,Intermediate,220,0.89,0.86,0.29,0.51,0.57,Intermediate,192,0.85,0.82,0.33,0.53,0.51,Intermediate,Intermediate,Prominent,Sparse,At Tube,Three,Fluted,1.76,3.22,1.48,0.49,0.42,0.31,0.3,9.1,10.59,Even,Veins,Chordate
Pop23_Ind1,canadense,179,0.71,0.89,0.61,0.5,0.44,Intermediate,175,1.02,0.89,0.42,0.66,0.24,Intermediate,142,1.1,0.92,0.34,0.64,0.59,Intermediate,Intermediate,Prominent,To Lobes,At Tube,Three,Fluted,1.74,2.6,1.51,0.36,0.47,0.38,0.28,10.77,12.01,Even,Entire,Chordate
Pop23_Ind2,canadense,174,0.72,0.82,0.56,0.48,0.77,Intermediate,247,0.77,0.83,0.5,0.51,0.91,Intermediate,210,0.78,0.84,0.39,0.5,0.78,Intermediate,Reflexed,Prominent,Sparse,At Tube,Zero,Fluted,1.75,1.93,1.42,0.37,0.45,0.33,0.27,10.43,11.72,Even,Veins,Chordate
Pop23_Ind3,canadense,176,1.51,0.83,0.24,0.95,0.19,Tapering,196,1.5,0.94,0.3,0.72,0.48,Tapering,171,1.37,1.1,0.34,0.77,0.44,Tapering,Flat,Prominent,To Lobes,At Tube,Zero,Fluted,1.73,2.36,1.66,0.44,0.49,0.39,0.35,11.58,13.08,Even,Veins,Chordate
Pop24_Ind1,acuminatum,140,3.45,1.43,0.28,1.59,0.59,Tapering,145,4.1,1.42,0.21,2.21,0.00,Tapering,62,4.03,1.55,0.22,2.46,0.73,Tapering,Incurved,Prominent,To Lobes,At Tube,Three,Fluted,2.48,4.23,2.21,0.78,0.79,0.58,0.44,14.41,16.9,Even,Veins,Chordate
Pop24_Ind2,acuminatum,96,4.17,1.38,0.21,2.29,0.64,Tapering,89,4.12,1.35,0.18,2.43,0.00,Tapering,73,4.3,1.35,0.19,2.21,0.00,Tapering,Incurved,Prominent,To Lobes,At Tube,Three,Fluted,2.14,3.19,1.74,0.81,0.58,0.55,0.34,10.25,15.03,Even,Entire,Chordate
Pop24_Ind3,acuminatum,,,,,,,,99,3.5,1.52,0.22,2.76,0.00,Tapering,93,3.93,1.34,0.27,2.61,0.00,Tapering,Incurved,Tapering,To Lobes,At Tube,Zero,Fluted,2.77,3.77,2.52,,0.63,0.58,0.35,15.57,18.6,Even,Entire,Chordate
Pop25_Ind1,acuminatum,87,4.02,1.26,0.19,2.4,0.00,Tapering,83,3.69,1.33,0.3,1.5,0.00,Tapering,73,4,1.19,0.21,2.41,0.26,Tapering,Incurved,Tapering,To Lobes,At Tube,Three,Fluted,1.49,2.88,1.81,0.93,0.59,0.54,0.33,8.85,10.87,Even,Veins,Chordate
Pop25_Ind2,acuminatum,36,3.94,1.33,0.2,2.39,0.00,Tapering,50,4.21,1.38,0.23,2.49,0.00,Tapering,125,4.15,1.3,0.23,2.29,0.00,Tapering,Incurved,Tapering,To Tube,At Tube,Three,Fluted,1.77,3.27,1.89,0.82,0.61,0.57,0.42,10.24,12.59,Even,Veins,Chordate
Pop25_Ind3,acuminatum,68,4.15,1.28,0.16,2.23,0.10,Tapering,61,4.4,1.4,0.14,2.37,0.00,Tapering,108,4.46,1.34,0.21,2.21,0.00,Tapering,Incurved,Tapering,To Lobes,One-Third,Three,Fluted,1.53,4.3,1.92,0.81,0.56,0.52,0.36,9.36,11.31,Even,Entire,Chordate
Pop25_Ind4,acuminatum,144,4.01,1.34,0.18,1.58,0.39,Tapering,80,4.01,1.38,0.18,2.4,0.00,Tapering,92,3.7,1.31,0.23,2.45,0.00,Tapering,Incurved,Tapering,To Lobes,One-Third,One,Fluted,1.56,2.98,1.81,0.86,0.54,0.53,0.3,11.43,13.71,Even,Veins,Chordate
Pop26_Ind1,acuminatum,69,3.7,1.31,0.27,1.69,0.00,Tapering,75,3.65,1.32,0.24,1.68,0.00,Tapering,67,3.8,1.47,0.24,1.67,0.00,Tapering,Incurved,Tapering,To Lobes,One-Third,Three,Fluted,2.07,3.66,2.19,0.93,0.6,0.68,0.47,11.57,13.34,Even,Veins,Chordate
Pop26_Ind2,acuminatum,82,3.91,1.36,0.11,1.88,0.00,Tapering,91,3.98,1.43,0.13,1.96,0.00,Tapering,112,4.09,1.34,0.17,2.03,0.00,Tapering,Incurved,Tapering,To Lobes,One-Third,Two,Fluted,1.92,2.21,1.83,0.77,0.62,0.56,0.42,9.96,12.19,Even,Veins,Chordate
Pop26_Ind3,acuminatum,146,4.24,1.45,0.15,2.17,0.00,Tapering,45,4.35,1.42,0.17,2.32,0.00,Tapering,120,4.3,1.43,0.18,2.21,0.10,Tapering,Incurved,Tapering,To Lobes,At Tube,Two,Fluted,2.28,2.52,2.12,0.84,0.64,0.61,0.38,9.59,12.56,Even,Veins,Chordate
Pop27_Ind1,acuminatum,153,3.9,1.39,0.14,2.03,0.43,Tapering,107,3.87,1.35,0.18,2.28,0.19,Tapering,127,3.94,1.45,0.17,2.32,0.53,Tapering,Incurved,Tapering,To Lobes,At Tube,Three,Fluted,2.07,2.37,2.23,0.85,0.56,0.54,0.35,11.88,14.1,Even,Veins,Chordate
Pop27_Ind2,acuminatum,164,2.83,1.21,0.19,1.84,0.35,Tapering,87,2.65,1.23,0.23,1.79,0.00,Tapering,133,2.77,1.18,0.2,1.88,0.15,Tapering,Incurved,Tapering,To Lobes,At Tube,Three,Fluted,1.52,2.88,1.83,0.58,0.53,0.58,0.34,10.18,12.22,Even,Veins,Chordate
Pop27_Ind3,acuminatum,125,4.09,1.3,0.13,2.27,0.10,Tapering,55,3.86,1.21,0.22,2.3,0.00,Tapering,73,4.07,1.29,0.17,2.38,0.40,Tapering,Incurved,Tapering,To Lobes,At Tube,Three,Fluted,2.31,1.7,2.24,0.79,0.7,0.69,0.31,11.26,13.49,Even,Veins,Chordate
Pop28_Ind1,canadense,154,1.31,1.07,0.28,0.72,0.43,Intermediate,167,1.26,1.14,0.25,0.88,0.43,Intermediate,172,1.39,1.11,0.2,0.82,0.57,Intermediate,Slight Incurve,Tapering,To Lobes,At Tube,Two,Fluted,1.68,3.68,1.97,0.52,0.52,0.45,0.32,14.51,16.04,Margins,Veins,Chordate
Pop28_Ind2,canadense,184,1.92,1.05,0.25,1.18,0.61,Intermediate,182,1.86,1.18,0.3,1.09,0.82,Intermediate,191,1.99,1.08,0.29,1.04,0.36,Intermediate,Flat,Tapering,To Tube,At Tube,Three,Fluted,1.95,3.1,1.85,0.6,0.53,0.48,0.3,12.08,14.55,Even,Entire,Chordate
Pop28_Ind3,canadense,143,1.82,1.14,0.23,0.91,0.24,Intermediate,172,1.75,1.21,0.27,0.92,0.20,Intermediate,168,1.84,1.16,0.27,1,0.20,Intermediate,Flat,Prominent,To Lobes,One-Third,Three,Fluted,2.66,1.9,2.2,0.69,0.6,0.55,0.38,12.79,14.23,Even,Entire,Chordate
Pop29_Ind1,canadense,195,1.61,1.03,0.21,0.81,0.06,Intermediate,166,1.6,1.08,0.4,0.93,0.35,Intermediate,201,1.76,1.09,0.26,0.91,0.64,Intermediate,Intermediate,Prominent,To Tube,One-Third,Three,Fluted,1.79,3.09,2.3,0.63,0.53,0.71,0.38,13.45,15.47,Even,Entire,Chordate
Pop29_Ind2,canadense,142,1.4,0.92,0.2,0.75,0.00,Intermediate,136,1.38,1.02,0.19,0.79,0.00,Intermediate,170,1.25,0.92,0.23,0.8,0.00,Intermediate,Slight Incurve,Prominent,To Tube,One-Third,Three,Fluted,1.72,3.31,1.89,0.43,0.54,0.7,0.34,13.36,14,Even,Entire,Reniform-Chordate
Pop29_Ind3,canadense,172,1.45,1.12,0.26,0.83,0.25,Intermediate,186,1.36,1.08,0.31,0.93,0.16,Intermediate,206,1.35,1.01,0.42,0.82,0.94,Intermediate,Flat,Prominent,To Lobes,One-Third,Three,Fluted,2.48,2.74,2.02,0.42,0.55,0.71,0.34,14.25,15.66,Even,Entire,Reniform-Chordate
Pop30_Ind1,reflexum,192,1.46,1.03,0.56,1.05,1.00,Abrupt,222,1.42,1.03,0.58,1.06,1.00,Abrupt,240,1.52,1.07,0.64,0.98,1.00,Abrupt,Reflexed,Prominent,To Lobes,Halfway,Two,Fluted,1.59,2.89,1.68,0.45,0.42,0.36,0.27,10.1,11.33,Margins,Entire,Reniform-Chordate
Pop30_Ind2,reflexum,263,1.34,1.03,0.69,0.92,1.00,Abrupt,255,1.81,1.01,0.57,1.05,1.00,Abrupt,258,1.79,1.03,0.67,1.02,1.00,Abrupt,Reflexed,Prominent,To Lobes,One-Third,Zero,Fluted,1.8,3.38,1.69,0.53,0.38,0.41,0.35,12.73,17.11,Margins,Entire,Reniform-Chordate
Pop30_Ind3,reflexum,258,1.57,0.93,0.62,0.96,1.00,Abrupt,267,1.58,0.84,0.49,0.98,1.00,Abrupt,277,1.53,1,0.61,0.99,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Fluted,1.31,2.18,1.31,0.39,0.39,0.45,0.34,6.9,8.89,Even,Entire,
Pop31_Ind1,reflexum,256,1.12,0.84,0.6,0.72,1.00,Abrupt,234,1.2,0.81,0.71,0.81,1.00,Abrupt,245,1.16,0.91,0.6,0.78,1.00,Abrupt,Reflexed,Prominent,To Tube,At Tube,Zero,Fluted,1.82,1.78,1.68,0.45,0.48,0.34,0.28,9.54,11.79,Margins,Entire,Chordate
