"ID","Putative_Species","Avg_Sep_Angle","Avg_Sep_Length","Avg_Sep_MP_Width","Avg_Length_Tapering","Avg_In_Out_Ratio","Avg_Sep_Width","Pedicle_Width_mm","Pedicle_Length_cm","Tube_Length","Stamen_Length_cm","Dist_to_Gyn_Center_cm","Gyn_Height_cm","Gyn_Width_mm","Sepal_Tip_Shape","Overall_Sepal_Orientation","Calyx_Ab_Pub","Tube_Color","Rudimentary_Petals","Adaxial_Leaf_Pubescence","Leaf_Shape"
"Pop14_Ind3","canadense",172,3.0625,0.363333333333333,0.65,0.403333333333333,1.08645430395308,1.58,4.01,1.43,0.41,0.42,0.35,0.25,"Intermediate","Flat","Sparse","At Tube","Zero","Even","Chordate"
"Pop15_Ind1","canadense",149.666666666667,2.7175,0.41,0.57,0.37,1.08645430395308,1.47,2.54,1.04,0.31,0.36,0.26,0.24,"Intermediate","Slight Incurve","Sparse","At Tube","Two","Even","Reniform-Chordate"
"Pop15_Ind2","canadense",199,2.46,0.39,0.476666666666667,0.69,1.08645430395308,1.36,2.86,1.05,0.4,0.37,0.29,0.19,"Intermediate","Slight Reflex","Sparse","At Tube","Three","Even","Chordate"
"Pop15_Ind3","canadense",188.312607944732,3.07880829015544,0.430535405872193,0.648169257340242,0.680293609671848,1.08645430395308,1.75,2.3,1.46,0.39,0.42,0.32,0.23,"Intermediate","Flat","To Lobes","At Tube","Three","Even","Chordate"
"Pop16_Ind1","canadense",182,2.5975,0.363333333333333,0.603333333333333,0.626666666666667,1.08645430395308,1.52,2.97,1.11,0.36,0.34,0.29,0.2,"Intermediate","Flat","To Lobes","At Tube","Zero","Even","Chordate"
"Pop16_Ind2","canadense",212.333333333333,3.135,0.36,0.56,1.35,1.08645430395308,2.02,2.78,1.49,0.51,0.49,0.41,0.27,"Intermediate","Slight Reflex","To Lobes","At Tube","Two","Even","Chordate"
"Pop16_Ind3","canadense",202,3.1775,0.373333333333333,0.526666666666667,0.55,1.08645430395308,1.96,3.88,1.52,0.48,0.46,0.42,0.28,"Intermediate","Slight Reflex","To Lobes","At Tube","Zero","Even","Chordate"
"Pop17_Ind1","canadense",202,2.4375,0.303333333333333,0.423333333333333,0.61,1.08645430395308,1.65,2.66,1.1,0.49,0.37,0.35,0.23,"Intermediate","Slight Reflex","Sparse","At Tube","Three","Even","Chordate"
"Pop17_Ind2","canadense",211,2.7775,0.346666666666667,0.596666666666667,0.596666666666667,1.08645430395308,1.63,4.07,1.19,0.41,0.34,0.38,0.27,"Intermediate","Intermediate","Sparse","At Tube","Zero","Even","Chordate"
"Pop17_Ind3","canadense",179.333333333333,2.7575,0.333333333333333,0.563333333333333,0.446666666666667,1.08645430395308,1.42,2.94,1.16,0.49,0.35,0.26,0.25,"Intermediate","Intermediate","To Lobes","At Tube","One","Even","Chordate"
"Pop18_Ind1","canadense",218,2.49,0.51,0.413333333333333,1,1.08645430395308,1.62,2.13,1.21,0.37,0.34,0.36,0.22,"Intermediate","Reflexed","Sparse","At Tube","Two","Even","Chordate"
"Pop18_Ind2","canadense",214.666666666667,3.215,0.313333333333333,0.536666666666667,0.516666666666667,1.08645430395308,1.64,1.62,1.26,0.41,0.33,0.32,0.24,"Intermediate","Reflexed","To Lobes","At Tube","Three","Even","Chordate"
"Pop18_Ind3","canadense",184.333333333333,2.69,0.21,0.586666666666667,0.63,1.08645430395308,1.84,2.49,1.34,0.42,0.39,0.31,0.26,"Intermediate","Flat","To Lobes","At Tube","Two","Even","Chordate"
"Pop19_Ind1","canadense",191,3.0375,0.34,0.586666666666667,0.446666666666667,1.08645430395308,1.8,2.51,1.19,0.45,0.33,0.31,0.24,"Intermediate","Flat","To Lobes","At Tube","Two","Even","Chordate"
"Pop19_Ind2","canadense",209.666666666667,3.3825,0.276666666666667,0.69,0.633333333333333,1.08645430395308,1.56,2.4,1.27,0.39,0.35,0.34,0.28,"Intermediate","Reflexed","To Lobes","At Tube","Zero","Even","Chordate"
"Pop19_Ind3","canadense",233.666666666667,3.335,0.27,0.633333333333333,0.593333333333333,1.08645430395308,1.43,2.97,1.38,0.45,0.37,0.32,0.24,"Tapering","Reflexed","To Lobes","At Tube","One","Even","Chordate"
